Gender,Transaction,Merchant_Name,Category,Age,Month,Year
1,0.010170725273551106,0.8387605198203825,0.2,0.05263157894736842,0.3333333333333333,0.0
0,0.0370500222046366,0.8493769887292949,0.0,0.4210526315789474,0.8888888888888888,0.0
0,0.00210359715112843,0.9744253129925358,0.2,0.4912280701754386,0.0,0.0
1,0.019099326515007328,0.6674398548785202,0.4,0.9473684210526314,0.5555555555555556,0.0
1,0.031430412672336365,0.8923781485116127,0.2,0.07017543859649122,0.7777777777777777,0.0
1,0.052215955951343464,0.5836678859250007,0.2,0.6491228070175439,0.1111111111111111,0.0
0,0.024281521401596732,0.423380022006126,0.8,0.8421052631578947,0.0,0.0
1,0.04602537004945123,0.07440449638683201,0.0,0.5438596491228069,0.5555555555555556,0.0
0,0.30841739374330107,0.5872067088946382,1.0,0.5087719298245614,0.1111111111111111,0.0
0,0.12780855262498875,0.045142296368989206,0.6000000000000001,0.5964912280701753,0.8888888888888888,0.0
0,0.04576492468788295,0.8734350373212002,0.2,0.6491228070175439,0.7777777777777777,0.0
0,0.034201818442870645,0.31126773128735835,0.2,0.017543859649122806,0.3333333333333333,0.0
0,0.01646148246835422,0.8997234365242216,0.2,0.017543859649122806,0.3333333333333333,0.0
1,0.02489590533145011,0.7582002557468701,0.8,0.6842105263157894,0.0,0.0
1,0.14563904276312498,0.9773098997829125,0.6000000000000001,0.8421052631578947,0.1111111111111111,0.0
0,0.0338078113574212,0.6156659826924793,0.2,0.9824561403508771,0.4444444444444445,0.0
0,0.4885454126556412,0.8828917239123324,1.0,0.10526315789473684,0.4444444444444445,0.0
0,0.011710024141281592,0.04425015612454278,0.0,0.4912280701754386,0.4444444444444445,0.0
1,0.04899044031961321,0.8424777708389092,0.0,0.21052631578947373,0.5555555555555556,0.0
0,0.004020207888823221,0.9861718262110803,0.8,0.21052631578947373,0.3333333333333333,0.0
0,0.12072310317309266,0.06815951467570702,0.6000000000000001,0.4210526315789474,0.1111111111111111,0.0
0,0.30693151956512305,0.6646444821125881,0.4,0.807017543859649,0.2222222222222222,0.0
1,0.2593902239496205,0.2216968507449371,1.0,0.8596491228070176,0.2222222222222222,0.0
1,0.4923352265707694,0.27885330240580486,1.0,0.03508771929824561,0.3333333333333333,0.0
1,0.01801747655156985,0.27299491480060667,0.2,0.19298245614035087,0.8888888888888888,0.0
